#
# INPUTFILE 
# ENERGYOUT energy.dat
# GEOMOUT geometry.xyz
# RANDOMSEED 41
# DESIREDTEMPERATURE 298.150000 K
# BOUNDARY 10.000000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSWAITTIME 5.000000 s
# ENERGYWAITTIME 0.001000 ps
# GEOMWAITTIME 0.001000 ps
# TOTALTIME 0.500000 ps
# TIMESTEP 0.000500 ps
# EQTIME 0.000000 ps
# EQRATE 2.000000 p
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
 0.0300  2.14734e+05  2.323e+00  2.147e+05  2.147e+05  5.104e+00  0.000e+00  2.149e+05 -1.794e+02  1.954e+00  2.720e+00  4.302e-01  0.000e+00
 0.0310  2.09407e+05  3.290e+00  2.094e+05  2.094e+05  4.130e+00  0.000e+00  2.096e+05 -1.792e+02  1.597e+00  2.118e+00  4.143e-01  0.000e+00
 0.0320  2.03685e+05  4.624e+00  2.037e+05  2.037e+05  2.782e+00  0.000e+00  2.039e+05 -1.790e+02  9.602e-01  1.427e+00  3.952e-01  0.000e+00
 0.0330  2.01795e+05  5.554e+00  2.018e+05  2.018e+05  1.846e+00  0.000e+00  2.020e+05 -1.789e+02  6.876e-01  7.838e-01  3.745e-01  0.000e+00
 0.0340  2.04738e+05  5.737e+00  2.047e+05  2.047e+05  1.670e+00  0.000e+00  2.049e+05 -1.788e+02  9.835e-01  3.320e-01  3.545e-01  0.000e+00
 0.0350  2.09790e+05  5.526e+00  2.098e+05  2.098e+05  1.890e+00  0.000e+00  2.100e+05 -1.788e+02  1.380e+00  1.736e-01  3.370e-01  0.000e+00
 0.0360  2.13026e+05  5.465e+00  2.130e+05  2.130e+05  1.952e+00  0.000e+00  2.132e+05 -1.787e+02  1.290e+00  3.390e-01  3.235e-01  0.000e+00
 0.0370  2.13340e+05  5.603e+00  2.133e+05  2.133e+05  1.805e+00  0.000e+00  2.135e+05 -1.786e+02  7.108e-01  7.800e-01  3.144e-01  0.000e+00
 0.0380  2.13886e+05  5.453e+00  2.139e+05  2.139e+05  1.948e+00  0.000e+00  2.141e+05 -1.784e+02  2.503e-01  1.390e+00  3.084e-01  0.000e+00
 0.0390  2.18233e+05  4.616e+00  2.182e+05  2.182e+05  2.790e+00  0.000e+00  2.184e+05 -1.784e+02  4.493e-01  2.037e+00  3.031e-01  0.000e+00
 0.0400  2.25377e+05  3.349e+00  2.254e+05  2.254e+05  4.069e+00  0.000e+00  2.255e+05 -1.783e+02  1.174e+00  2.600e+00  2.960e-01  0.000e+00
